Locus	GC*.V.appalachiana	GC*.V. lineata	GC3*.V.appalachiana	GC3*.V. lineata	GC.V.appalachiana	GC.V.lineata	TotalGCDiff	GC3.V.appalachiana	GC3.V.lineata	GC3.Diff
OG0006397	53.5515903	57.4334487	99.9999	99.9999	50.86580087	49.10714286	1.758658009	44.80519481	40.17857143	4.626623377
OG0006405	1.00E-04	16.4278639	0.0001	18.84112515	46.41350211	47.34774067	-0.934238558	36.70886076	42.01183432	-5.30297356
OG0006406	62.779488	54.6308817	55.81284436	0.0001	42.39130435	45.17184943	-2.780545079	41.30434783	45.81280788	-4.508460056
OG0006407	39.0008986	62.6764981	0.0001	50.44763082	46.66666667	47.40740741	-0.740740741	41.97530864	43.45679012	-1.481481481
OG0006408	65.3165607	78.7181819	61.85720924	88.23304883	43.57053683	44.23380727	-0.663270438	40.82397004	41.70616114	-0.8821911
OG0006409	54.5493625	57.3535215	31.27856885	54.21503294	52.23097113	51.17117117	1.059799957	55.11811024	51.35135135	3.766758885
OG0006411	99.9999	99.9999	99.9999	99.9999	43.46978558	44.21568627	-0.745900699	42.10526316	37.64705882	4.458204334
OG0006415	65.9362488	47.8487123	73.59173964	33.09181751	45.06957048	46.29762761	-1.228057128	40.47186933	45.35637149	-4.884502162
OG0006416	49.6824159	60.1030595	63.15354719	99.9999	46.37964775	46.53333333	-0.153685584	51.8590998	51.8	0.059099804
OG0006419	55.6433811	49.8384038	51.4764356	49.07510755	41.09156518	40.08097166	1.010593518	42.35453315	40.75573549	1.59879766
OG0006420	36.6944445	43.4024636	36.72113626	38.20657465	40.12944984	47.91666667	-7.787216828	36.89320388	55.35714286	-18.46393897
OG0006422	24.9923513	23.97496	26.88666081	0.0001	47.07102125	45.61403509	1.456986167	42.45723173	41.57894737	0.878284358
OG0006424	46.2162959	47.2909537	99.9999	51.65318613	43.00254453	43.45238095	-0.449836423	30.53435115	32.58928571	-2.054934569
OG0006425	58.502957	45.2048492	37.24000002	0.0001	42.7574171	42.58289703	0.17452007	43.97905759	43.97905759	0
OG0006430	23.146826	1.00E-04	38.2707766	0.0001	40.18445323	43.60086768	-3.416414451	34.7826087	39.61038961	-4.827780915
OG0006432	99.983076	34.0454226	99.9999	40.16891945	42.06451613	43.62850972	-1.56399359	45.73643411	46.27831715	-0.541883044
OG0006433	58.2004666	50.0039938	54.36148807	0.0001	45.55555556	46.29014396	-0.734588409	49.62962963	52.15946844	-2.529838809
OG0006434	61.7467135	55.110793	63.9781049	99.66498283	43.40114763	43.5978836	-0.196735971	39.90610329	40.47619048	-0.57008719
OG0006437	99.9999	59.4979352	99.9999	99.9999	40.66666667	44.01473297	-3.348066298	43	45.3038674	-2.303867403
OG0006438	27.1263723	36.6211497	15.54623355	24.86256329	46.53465347	47.65625	-1.121596535	38.61386139	42.578125	-3.964263614
OG0006439	1.00E-04	46.3728142	0.0001	52.11809713	44.94949495	45.2020202	-0.252525253	47.22222222	48.23232323	-1.01010101
OG0006440	99.9999	61.8735497	99.9999	77.95666467	52.15100966	50.07788162	2.073128038	56.167979	49.53271028	6.635268722
OG0006441	99.9999	54.4156888	99.9999	58.60182161	45.33799534	47.1451876	-1.807192264	37.76223776	40.48780488	-2.725567116
OG0006442	32.6850039	38.6594269	0.0001	43.22888511	40.46740467	38.97435897	1.4930457	38.00738007	35.8974359	2.109944176
OG0006443	58.2184643	73.6402742	99.9999	75.14643557	44.01197605	45.21849272	-1.206516669	41.31736527	42.96577947	-1.648414198
OG0006447	85.2932522	59.9935775	77.64701581	99.9999	42.38683128	43.91971665	-1.532885371	38.27160494	39.71631206	-1.444707118
OG0006450	38.2963822	1.00E-04	14.0596384	0.0001	46.82779456	46.31710362	0.510690941	44.10876133	43.44569288	0.663068445
OG0006451	45.8064459	64.2763924	99.9999	61.63726775	41.2568306	40.09661836	1.160212244	42.62295082	38.647343	3.975607825
